<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20201118,170000,119.49,119.5,119.27,119.42,679592,0
AAPL.US,5,20201118,170500,119.41,119.45,119.2,119.2,622654,0
AAPL.US,5,20201118,171000,119.215,119.37,119.16,119.363,576898,0
AAPL.US,5,20201118,171500,119.37,119.4,119.08,119.13,605007,0
AAPL.US,5,20201118,172000,119.14,119.25,119.07,119.15,513000,0
AAPL.US,5,20201118,172500,119.141,119.27,119.1,119.27,359583,0
AAPL.US,5,20201118,173000,119.268,119.4,119.22,119.39,447155,0
AAPL.US,5,20201118,173500,119.39,119.47,119.315,119.36,634227,0
AAPL.US,5,20201118,174000,119.36,119.4,119.28,119.36,393976,0
AAPL.US,5,20201118,174500,119.35,119.42,119.24,119.38,454277,0
AAPL.US,5,20201118,175000,119.38,119.59,119.375,119.485,773918,0
AAPL.US,5,20201118,175500,119.48,119.52,119.4,119.515,348987,0
AAPL.US,5,20201118,180000,119.511,119.82,119.511,119.72,1024476,0
AAPL.US,5,20201118,180500,119.72,119.765,119.58,119.675,594257,0
AAPL.US,5,20201118,181000,119.675,119.69,119.48,119.625,602471,0
AAPL.US,5,20201118,181500,119.62,119.67,119.52,119.63,372318,0
AAPL.US,5,20201118,182000,119.635,119.705,119.58,119.675,315328,0
AAPL.US,5,20201118,182500,119.675,119.74,119.53,119.574,438650,0
AAPL.US,5,20201118,183000,119.575,119.73,119.57,119.715,392189,0
AAPL.US,5,20201118,183500,119.715,119.77,119.64,119.766,420356,0
AAPL.US,5,20201118,184000,119.77,119.77,119.615,119.656,364386,0
AAPL.US,5,20201118,184500,119.65,119.68,119.59,119.62,332307,0
AAPL.US,5,20201118,185000,119.616,119.7,119.5,119.501,402290,0
AAPL.US,5,20201118,185500,119.5,119.57,119.44,119.55,379191,0
AAPL.US,5,20201118,190000,119.54,119.6,119.45,119.565,464242,0
AAPL.US,5,20201118,190500,119.57,119.7,119.51,119.695,392581,0
AAPL.US,5,20201118,191000,119.692,119.695,119.45,119.55,454384,0
AAPL.US,5,20201118,191500,119.55,119.576,119.48,119.55,396617,0
AAPL.US,5,20201118,192000,119.555,119.56,119.355,119.435,471977,0
AAPL.US,5,20201118,192500,119.43,119.45,119.26,119.26,462424,0
AAPL.US,5,20201118,193000,119.26,119.38,119.24,119.335,508137,0
AAPL.US,5,20201118,193500,119.335,119.515,119.332,119.44,381662,0
AAPL.US,5,20201118,194000,119.44,119.461,119.34,119.352,375623,0
AAPL.US,5,20201118,194500,119.354,119.42,119.15,119.26,454764,0
AAPL.US,5,20201118,195000,119.25,119.32,119.12,119.3,439140,0
AAPL.US,5,20201118,195500,119.29,119.36,119.13,119.312,628887,0
AAPL.US,5,20201118,200000,119.315,119.33,119.19,119.263,490634,0
